"","sp","taxo","group_kernels","group_detection","group_atlas"
"276","Cory's/Great Shearwater",1813,"seabirds_pelagics","Shearwaters","Shearwaters"
"277","Buller's Shearwater",1815,"seabirds_pelagics","Shearwaters","Shearwaters"
"278","Sooty Shearwater",1816,"seabirds_pelagics","Shearwaters","Shearwaters"
"279","Short-tailed Shearwater",1817,"seabirds_pelagics","Shearwaters","Shearwaters"
"280","Sooty/Short-tailed Shearwater",1818,"seabirds_pelagics","Shearwaters","Shearwaters"
"281","Manx Shearwater",1821,"seabirds_pelagics","Shearwaters","Shearwaters"
"282","Barolo Shearwater",1838,"seabirds_pelagics","Shearwaters","Shearwaters"
"283","Audubon's Shearwater",1840,"seabirds_pelagics","Shearwaters","Shearwaters"
"284","black-and-white shearwater sp.",1854,"seabirds_pelagics","Shearwaters","Shearwaters"
"285","shearwater sp.",1855,"seabirds_pelagics","Shearwaters","Shearwaters"
"286","Procellariid sp.",1856.75,"seabirds_pelagics","",""
"287","Wilson's Storm-Petrel",1857,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"288","Wilson's Storm-Petrel",1857.5,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"289","Oceanites sp.",1864,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"290","White-faced Storm-Petrel",1867,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"291","Fork-tailed Storm-Petrel",1886,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"292","Leach's Storm-Petrel",1890,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"293","Leach's Storm-Petrel",1891,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"294","Band-rumped Storm-Petrel",1898,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"295","Oceanodroma sp.",1911,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"296","storm-petrel sp. (white-rumped)",1912.6,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"297","storm-petrel sp.",1916,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"298","White-tailed Tropicbird",1924,"","",""
"299","Red-tailed Tropicbird",1935,"","",""
"300","Wood Stork",1941.56,"shorebirds_waders","",""
"301","Magnificent Frigatebird",1941.76,"seabirds_pelagics","",""
"302","frigatebird sp.",1941.86,"seabirds_pelagics","",""
"303","Brown Booby",1954,"seabirds_pelagics","",""
"304","Brown Booby",1956,"seabirds_pelagics","",""
"305","Northern Gannet",1964,"seabirds_pelagics","Gannets","Gannets"
"306","sulid sp.",1967,"seabirds_pelagics","",""
"307","Brandt's Cormorant",1984,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"308","Red-faced Cormorant",1984.01,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"309","Pelagic Cormorant",1984.02,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"310","Great Cormorant",1984.04,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"311","Great Cormorant",1984.05,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"312","Neotropic Cormorant",1985,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"313","Double-crested Cormorant",1988,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"314","Great/Double-crested Cormorant",1991,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"315","Neotropic/Double-crested Cormorant",1992.4,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"316","cormorant sp.",2055,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"317","Anhinga",2056,"","",""
"318","American White Pelican",2069,"seabirds_pelagics","",""
"319","Brown Pelican",2070,"seabirds_pelagics","",""
"320","Brown Pelican",2072,"seabirds_pelagics","",""
"321","Brown Pelican",2073,"seabirds_pelagics","",""
"322","Great White Pelican",2074.2,"seabirds_pelagics","",""
"323","pelican sp.",2074.9,"seabirds_pelagics","",""
