"","sp","taxo","group_kernels","group_detection","group_atlas"
"1093","Bohemian/Cedar Waxwing",27739,"","",""
"1094","Phainopepla",27755,"","",""
"1095","Lapland Longspur",27763.5,"passerines","",""
"1096","Chestnut-collared Longspur",27764,"","",""
"1097","Smith's Longspur",27765,"","",""
"1098","McCown's Longspur",27766,"","",""
"1099","longspur sp.",27766.3,"","",""
"1100","Snow Bunting",27766.4,"passerines","",""
"1101","McKay's Bunting",27768,"","",""
"1102","Snow x McKay's Bunting (hybrid)",27768.5,"","",""
"1103","Snow/McKay's Bunting",27768.7,"","",""
"1104","Ovenbird",27769,"","",""
"1105","Worm-eating Warbler",27772,"","",""
"1106","Louisiana Waterthrush",27773,"","",""
"1107","Northern Waterthrush",27774,"","",""
"1108","Louisiana/Northern Waterthrush",27775,"","",""
"1109","Golden-winged Warbler",27776.5,"","",""
"1110","Blue-winged Warbler",27777,"","",""
"1111","Golden-winged x Blue-winged Warbler (hybrid)",27781.1,"","",""
"1112","Brewster's Warbler (hybrid)",27781.2,"","",""
"1113","Lawrence's Warbler (hybrid)",27781.4,"","",""
"1114","Golden-winged/Blue-winged Warbler",27781.5,"","",""
"1115","Black-and-white Warbler",27782,"","",""
"1116","Prothonotary Warbler",27783,"","",""
"1117","Swainson's Warbler",27784,"","",""
"1118","Tennessee Warbler",27792,"","",""
"1119","Orange-crowned Warbler",27793,"","",""
"1120","Orange-crowned Warbler",27793.5,"","",""
"1121","Orange-crowned Warbler",27794,"","",""
"1122","Orange-crowned Warbler",27795,"","",""
"1123","Orange-crowned Warbler",27796,"","",""
"1124","Lucy's Warbler",27800,"","",""
"1125","Nashville Warbler",27801,"","",""
"1126","Nashville Warbler",27802,"","",""
"1127","Nashville Warbler",27803,"","",""
"1128","Virginia's Warbler",27804,"","",""
"1129","Oreothlypis sp.",27805,"","",""
"1130","Connecticut Warbler",27807,"","",""
"1131","MacGillivray's Warbler",27822,"","",""
"1132","Mourning Warbler",27824,"","",""
"1133","MacGillivray's/Mourning Warbler",27824.4,"","",""
"1134","Kentucky Warbler",27825,"","",""
"1135","Common Yellowthroat",27838,"","",""
"1136","Common Yellowthroat",27838.5,"","",""
"1137","Common Yellowthroat",27842,"","",""
"1138","Common Yellowthroat",27848,"","",""
"1139","Mourning Warbler x Common Yellowthroat (hybrid)",27851.4,"","",""
"1140","Hooded Warbler",27860,"","",""
"1141","American Redstart",27861,"","",""
"1142","Kirtland's Warbler",27862,"","",""
"1143","Cape May Warbler",27863,"","",""
"1144","Cerulean Warbler",27864,"","",""
"1145","Northern Parula",27865,"","",""
"1146","Magnolia Warbler",27882,"","",""
"1147","Nashville x Magnolia Warbler (hybrid)",27882.2,"","",""
"1148","Bay-breasted Warbler",27883,"","",""
"1149","Blackburnian Warbler",27884,"","",""
"1150","Yellow Warbler",27885,"","",""
"1151","Yellow Warbler",27886,"","",""
"1152","Chestnut-sided Warbler",27923,"","",""
"1153","Magnolia x Chestnut-sided Warbler (hybrid)",27923.5,"","",""
"1154","Blackpoll Warbler",27924,"","",""
"1155","Bay-breasted/Blackpoll Warbler",27925,"","",""
"1156","Black-throated Blue Warbler",27926,"","",""
"1157","Palm Warbler",27929,"","",""
"1158","Palm Warbler",27930,"","",""
"1159","Palm Warbler",27931,"","",""
"1160","Pine Warbler",27933,"","",""
"1161","Yellow-rumped Warbler",27938,"","",""
"1162","Yellow-rumped Warbler",27939,"","",""
"1163","Yellow-rumped Warbler",27941,"","",""
"1164","Yellow-rumped Warbler",27941.5,"","",""
"1165","Magnolia x Yellow-rumped Warbler (hybrid)",27943.3,"","",""
"1166","Palm x Yellow-rumped Warbler (hybrid)",27943.5,"","",""
"1167","Yellow-throated Warbler",27946,"","",""
"1168","Yellow-throated Warbler",27947,"","",""
"1169","Yellow-throated Warbler",27948,"","",""
"1170","Prairie Warbler",27956,"","",""
"1171","Grace's Warbler",27962,"","",""
"1172","Black-throated Gray Warbler",27968,"","",""
"1173","Townsend's Warbler",27971,"","",""
"1174","Hermit Warbler",27973,"","",""
"1175","Townsend's x Hermit Warbler (hybrid)",27973.5,"","",""
"1176","Townsend's/Hermit Warbler",27975,"","",""
"1177","Black-throated Green Warbler",27977,"","",""
"1178","Townsend's x Black-throated Green Warbler (hybrid)",27977.5,"","",""
"1179","Setophaga sp.",27978,"","",""
"1180","Canada Warbler",28090,"","",""
"1181","Wilson's Warbler",28091,"","",""
"1182","Wilson's Warbler",28092,"","",""
"1183","Wilson's Warbler",28093,"","",""
"1184","Wilson's Warbler",28094,"","",""
"1185","Painted Redstart",28101,"","",""
"1186","Yellow-breasted Chat",28138,"","",""
"1187","Yellow-breasted Chat",28139,"","",""
"1188","Yellow-breasted Chat",28140,"","",""
"1189","warbler sp. (Parulidae sp.)",28149,"","",""
"1190","Red-crested Cardinal",28193.1,"","",""
"1191","Cassin's Sparrow",29493,"","",""
"1192","Bachman's Sparrow",29498,"","",""
"1193","Grasshopper Sparrow",29499,"","",""
"1194","Grasshopper Sparrow",29500,"","",""
"1195","Grasshopper Sparrow",29501,"","",""
"1196","Baird's Sparrow",29505,"","",""
"1197","Henslow's Sparrow",29506,"","",""
"1198","Le Conte's Sparrow",29507,"passerines","",""
"1199","Nelson's Sparrow",29508,"passerines","",""
"1200","Nelson's Sparrow",29509,"passerines","",""
"1201","Nelson's Sparrow",29510,"passerines","",""
"1202","Saltmarsh Sparrow",29511,"passerines","",""
"1203","Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow)",29513,"passerines","",""
"1204","Seaside Sparrow",29514,"passerines","",""
"1205","Ammodramus sp.",29519,"passerines","",""
"1206","American Tree Sparrow",29553,"","",""
"1207","Chipping Sparrow",29554,"","",""
"1208","Clay-colored Sparrow",29719,"","",""
"1209","Chipping x Clay-colored Sparrow (hybrid)",29720,"","",""
"1210","Field Sparrow",29726,"","",""
"1211","Brewer's Sparrow",29728,"","",""
"1212","Brewer's Sparrow",29729,"","",""
"1213","Brewer's Sparrow",29730,"","",""
"1214","Spizella sp.",29735,"","",""
"1215","American Tree Sparrow/Spizella sp.",29735.2,"","",""
"1216","Black-throated Sparrow",29743,"","",""
"1217","Lark Sparrow",29745,"","",""
"1218","Lark Bunting",29761,"","",""
"1219","Fox Sparrow",29840,"","",""
"1220","Fox Sparrow",29841,"","",""
"1221","Fox Sparrow",29855,"","",""
"1222","Fox Sparrow",29861,"","",""
"1223","Dark-eyed Junco",29958,"","",""
"1224","Dark-eyed Junco",29958.5,"","",""
"1225","Dark-eyed Junco",29959,"","",""
"1226","Dark-eyed Junco",29962,"","",""
"1227","Dark-eyed Junco",29963,"","",""
"1228","Dark-eyed Junco",29972,"","",""
"1229","Dark-eyed Junco",29975,"","",""
"1230","Dark-eyed Junco",29976,"","",""
"1231","Dark-eyed/Yellow-eyed Junco",29984.02,"","",""
"1232","White-crowned Sparrow",29984.05,"","",""
"1233","White-crowned Sparrow",29984.06,"","",""
"1234","White-crowned Sparrow",29984.07,"","",""
"1235","White-crowned Sparrow",29984.08,"","",""
"1236","White-crowned Sparrow",29984.09,"","",""
"1237","White-crowned Sparrow",29984.12,"","",""
"1238","Golden-crowned Sparrow",29984.13,"","",""
"1239","White-crowned x Golden-crowned Sparrow (hybrid)",29984.14,"","",""
"1240","Harris's Sparrow",29984.15,"","",""
"1241","White-throated Sparrow",29984.17,"","",""
"1242","White-crowned/White-throated Sparrow",29984.19,"","",""
"1243","Golden-crowned x White-throated Sparrow (hybrid)",29984.2,"","",""
"1244","Zonotrichia sp.",29984.21,"","",""
"1245","Dark-eyed Junco x White-throated Sparrow (hybrid)",29984.22,"","",""
"1246","Sagebrush Sparrow",29984.23,"","",""
"1247","Vesper Sparrow",29984.31,"","",""
"1248","Savannah Sparrow",29984.32,"passerines","",""
"1249","Savannah Sparrow",29984.33,"passerines","",""
"1250","Savannah Sparrow",29984.34,"passerines","",""
"1251","Song Sparrow",29984.39,"","",""
"1252","Song Sparrow",29984.4,"","",""
"1253","Song Sparrow",29984.41,"","",""
"1254","Song Sparrow",29984.42,"","",""
"1255","Lincoln's Sparrow",29984.49,"","",""
"1256","Swamp Sparrow",29984.5,"passerines","",""
"1257","Lincoln's/Swamp Sparrow",29984.52,"","",""
"1258","Green-tailed Towhee",29984.68,"","",""
"1259","Spotted Towhee",29984.69,"","",""
"1260","Spotted Towhee",29984.7,"","",""
"1261","Spotted Towhee",29984.71,"","",""
"1262","Spotted Towhee",29984.72,"","",""
"1263","Eastern Towhee",29984.76,"","",""
"1264","Eastern Towhee",29984.77,"","",""
"1265","Spotted x Eastern Towhee (hybrid)",29984.79,"","",""
"1266","Spotted/Eastern Towhee (Rufous-sided Towhee)",29984.8,"","",""
"1267","towhee sp.",29984.83,"","",""
"1268","sparrow sp.",29986,"","",""
"1269","Rustic Bunting",30075,"","",""
"1270","Hepatic Tanager",30141,"","",""
"1271","Summer Tanager",30160,"","",""
"1272","Scarlet Tanager",30163,"","",""
"1273","Western Tanager",30164,"","",""
"1274","tanager sp. (Piranga sp.)",30180,"","",""
"1275","Northern Cardinal",30233,"","",""
"1276","Northern Cardinal",30234,"","",""
"1277","Pyrrhuloxia",30253,"","",""
"1278","Black-backed Grosbeak",30266,"","",""
"1279","Rose-breasted Grosbeak",30273,"","",""
"1280","Black-headed Grosbeak",30275,"","",""
"1281","Rose-breasted x Black-headed Grosbeak (hybrid)",30277.5,"","",""
"1282","Rose-breasted/Black-headed Grosbeak",30278,"","",""
"1283","Blue Grosbeak",30312,"","",""
"1284","Lazuli Bunting",30320,"","",""
"1285","Indigo Bunting",30322,"","",""
"1286","Lazuli x Indigo Bunting (hybrid)",30322.5,"","",""
"1287","Lazuli/Indigo Bunting",30323,"","",""
"1288","Varied Bunting",30328,"","",""
"1289","Painted Bunting",30333,"","",""
"1290","Passerina sp.",30336,"","",""
"1291","Dickcissel",30337,"","",""
"1292","Bobolink",30338,"","",""
"1293","Red-winged Blackbird",30339,"passerines","",""
"1294","Red-winged Blackbird",30340,"passerines","",""
"1295","Western Meadowlark",30377,"","",""
"1296","Eastern Meadowlark",30387,"","",""
"1297","Eastern Meadowlark",30389,"","",""
"1298","Eastern Meadowlark",30404.5,"","",""
"1299","Western/Eastern Meadowlark",30409,"","",""
"1300","Yellow-headed Blackbird",30410,"passerines","",""
"1301","Rusty Blackbird",30416,"passerines","",""
"1302","Brewer's Blackbird",30419,"","",""
"1303","Rusty/Brewer's Blackbird",30420,"","",""
"1304","Common Grackle",30421,"passerines","",""
"1305","Common Grackle",30422,"passerines","",""
"1306","Common Grackle",30425,"passerines","",""
"1307","Great-tailed Grackle",30432,"","",""
"1308","Boat-tailed/Great-tailed Grackle",30441,"","",""
"1309","grackle sp.",30461,"passerines","",""
"1310","Bronzed Cowbird",30515,"","",""
"1311","Brown-headed Cowbird",30521,"","",""
"1312","Orchard Oriole",30546,"","",""
"1313","Orchard Oriole",30547,"","",""
"1314","Hooded Oriole",30549,"","",""
"1315","Hooded Oriole",30550,"","",""
"1316","Bullock's Oriole",30600,"","",""
"1317","Baltimore Oriole",30632,"","",""
"1318","Bullock's x Baltimore Oriole (hybrid)",30632.5,"","",""
"1319","Bullock's/Baltimore Oriole",30633,"","",""
"1320","Bullock's/Black-backed Oriole",30635,"","",""
"1321","Scott's Oriole",30636,"","",""
"1322","new world oriole sp.",30637,"","",""
"1323","blackbird sp.",30693,"","",""
"1324","Common Chaffinch",30694,"","",""
"1325","Common Chaffinch",30695,"","",""
"1326","Brambling",30714,"","",""
"1327","Gray-crowned Rosy-Finch",30825,"","",""
"1328","Gray-crowned Rosy-Finch",30828,"","",""
"1329","Gray-crowned Rosy-Finch",30829,"","",""
"1330","Gold-naped Finch",30837,"","",""
"1331","Pine Grosbeak",30849,"","",""
"1332","House Finch",30866,"","",""
"1333","House Finch",30867,"","",""
"1334","Purple Finch",30878.4,"","",""
"1335","Purple Finch",30878.6,"","",""
"1336","Purple Finch",30878.7,"","",""
"1337","House/Purple Finch",30878.8,"","",""
"1338","Cassin's Finch",30878.9,"","",""
"1339","Haemorhous sp.",30880.5,"","",""
"1340","rosefinch sp.",30942,"","",""
"1341","European Greenfinch",30954,"","",""
"1342","Oriental Greenfinch",30961,"","",""
"1343","Red Crossbill",30973,"","",""
"1344","Red Crossbill",30985.1,"","",""
"1345","Red Crossbill",30985.2,"","",""
"1346","Red Crossbill",30995,"","",""
"1347","Red Crossbill",30996,"","",""
"1348","Red Crossbill",30997,"","",""
"1349","Red Crossbill",30998,"","",""
"1350","Red Crossbill",30999,"","",""
"1351","Red Crossbill",31001,"","",""
"1352","Red Crossbill",31002,"","",""
"1353","Red Crossbill",31003,"","",""
"1354","White-winged Crossbill",31005,"","",""
"1355","White-winged Crossbill",31007,"","",""
"1356","crossbill sp.",31008,"","",""
"1357","Common Redpoll",31009,"","",""
"1358","Common Redpoll",31010,"","",""
"1359","Common Redpoll",31011,"","",""
"1360","Hoary Redpoll",31016,"","",""
"1361","Hoary Redpoll",31017,"","",""
"1362","Hoary Redpoll",31018,"","",""
"1363","Common/Hoary Redpoll",31019,"","",""
"1364","redpoll sp.",31019.5,"","",""
"1365","Eurasian Siskin",31020,"","",""
"1366","Pine Siskin",31021,"","",""
"1367","Pine Siskin",31022,"","",""
"1368","Pine Siskin",31025.2,"","",""
"1369","Lesser Goldfinch",31032,"","",""
"1370","American Goldfinch",31039,"","",""
"1371","Spinus sp.",31073,"","",""
"1372","Acanthis/Spinus sp.",31074,"","",""
"1373","European Goldfinch",31075,"","",""
"1374","Carduelis sp.",31108.5,"","",""
"1375","Yellow-fronted Canary",31142,"","",""
"1376","Evening Grosbeak",31273,"","",""
"1377","Evening Grosbeak",31276.1,"","",""
"1378","finch sp.",31340,"","",""
"1379","House Sparrow",31345,"","",""
"1380","Eurasian Tree Sparrow",31403,"","",""
"1381","House x Eurasian Tree Sparrow (hybrid)",31412,"","",""
"1382","Northern Red Bishop",31681,"","",""
"1383","Southern Red Bishop",31682,"","",""
"1384","Common Waxbill",31809,"","",""
"1385","Red-cheeked Cordonbleu",31856,"","",""
"1386","Red-headed Finch",31926,"","",""
"1387","Zebra Finch",31975.5,"","",""
"1388","Double-barred Finch",31978,"","",""
"1389","White-rumped Munia",32043,"","",""
"1390","Scaly-breasted Munia",32057,"","",""
"1391","Java Sparrow",32143,"","",""
"1392","passerine sp.",32181,"","",""
"1393","bird sp.",34000,"","",""
"1394","Aleutian Tern",NA,"seabirds_larids","",""
"1395","American Green-winged Teal",NA,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"1396","American/Pacific Golden Plover",NA,"shorebirds_waders","",""
"1397","Baltimore Oriole",NA,"","",""
"1398","Black & White Warbler",NA,"","",""
"1399","Black Storm-petrel",NA,"seabirds_pelagics","",""
"1400","Black-crowned Night Heron",NA,"shorebirds_waders","",""
"1401","Black-vented Shearwater",NA,"seabirds_pelagics","",""
"1402","Bonin Petrel",NA,"seabirds_pelagics","",""
"1403","Bridled Tern",NA,"seabirds_larids","",""
"1404","Christmas Shearwater",NA,"seabirds_pelagics","",""
"1405","European Storm-Petrel",NA,"seabirds_pelagics","",""
"1406","Family: Albatrosses",NA,"seabirds_pelagics","",""
"1407","Family: Auks",NA,"seabirds_alcids","Alcids","Alcids"
"1408","Family: Blackbirds",NA,"","",""
"1409","Family: Cardinals And Buntings",NA,"","",""
"1410","Family: Cormorants and Shags",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1411","Family: Crows and Jays",NA,"","",""
"1412","Family: Cuckoos",NA,"","",""
"1413","Family: Doves and Pigeons",NA,"","",""
"1414","Family: Ducks",NA,"","",""
"1415","Family: Falcons",NA,"","",""
"1416","Family: Finches",NA,"","",""
"1417","Family: Gannets",NA,"","Gannets","Gannets"
"1418","Family: Grebes",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1419","Family: Grouse and Ptarmigan",NA,"","",""
"1420","Family: Gulls",NA,"","",""
"1421","Family: Hawks (Accipiter)",NA,"raptors","",""
"1422","Family: Herons",NA,"shorebirds_waders","",""
"1423","Family: Hummingbirds",NA,"","",""
"1424","Family: Hydrobatid Storm-Petrels",NA,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"1425","Family: Jaegers and Skuas",NA,"seabirds_larids","Jaegers","Jaegers"
"1426","Family: Kingfishers",NA,"passerines","",""
"1427","Family: Kinglets",NA,"","",""
"1428","Family: Larks",NA,"","",""
"1429","Family: Loons",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1430","Family: Mimic Thrushes",NA,"","",""
"1431","Family: Nuthatches",NA,"","",""
"1432","Family: Oystercatchers",NA,"shorebirds_waders","",""
"1433","Family: Pelicans",NA,"seabirds_pelagics","",""
"1434","Family: Pipits",NA,"passerines","",""
"1435","Family: Plovers",NA,"shorebirds_waders","",""
"1436","Family: Rails",NA,"shorebirds_waders","",""
"1437","Family: Sandpipers",NA,"shorebirds_waders","",""
"1438","Family: Shearwaters",NA,"","Shearwaters","Shearwaters"
"1439","Family: Sparrows",NA,"","",""
"1440","Family: Starlings",NA,"","",""
"1441","Family: Swallows",NA,"","",""
"1442","Family: Tanagers",NA,"","",""
"1443","Family: Terns and Noddies",NA,"seabirds_larids","Terns","Terns"
"1444","Family: Thrushes",NA,"","",""
"1445","Family: Tyrannidae",NA,"","",""
"1446","Family: Unknown Shorebird",NA,"shorebirds_waders","",""
"1447","Family: Vireos",NA,"","",""
"1448","Family: Warblers",NA,"","",""
"1449","Family: Waxwings",NA,"","",""
"1450","Family: Weaver Finches",NA,"","",""
"1451","Family: Woodpeckers",NA,"","",""
"1452","Family: Wren",NA,"","",""
"1453","Flesh-footed Shearwater",NA,"","",""
"1454","Genus: Boobies",NA,"seabirds_pelagics","Gannets","Gannets"
"1455","Genus: Cormorants",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1456","Genus: Cuckoos (Coccyzus)",NA,"","",""
"1457","Genus: Doves (Columba)",NA,"","",""
"1458","Genus: Doves (Zenaida)",NA,"","",""
"1459","Genus: Dowitchers",NA,"shorebirds_waders","",""
"1460","Genus: Ducks",NA,"waterfowl_dabbling","Waterfowl",""
"1461","Genus: Eiders",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1462","Genus: Eiders or Scoters",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1463","Genus: Empidonax flycatchers",NA,"","",""
"1464","Genus: Frigatebirds",NA,"seabirds_pelagics","",""
"1465","Genus: Fulmars",NA,"seabirds_pelagics","Shearwaters","Shearwaters"
"1466","Genus: Geese",NA,"waterfowl_dabbling","Waterfowl","Dabbling Waterfowl"
"1467","Genus: Godwits",NA,"shorebirds_waders","",""
"1468","Genus: Goldeneye and Bufflehead",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1469","Genus: Guillemots",NA,"seabirds_alcids","Alcids","Alcids"
"1470","Genus: Gulls (Larus)",NA,"seabirds_larids","Gulls","Gulls"
"1471","Genus: Gulls",NA,"","Gulls","Gulls"
"1472","Genus: Gulls white-winged (Iceland or Glaucous)",NA,"seabirds_larids","Gulls","Gulls"
"1473","Genus: Hawks (Buteos)",NA,"","",""
"1474","Genus: Jaegers",NA,"seabirds_larids","Jaegers","Jaegers"
"1475","Genus: Kingfishers",NA,"","",""
"1476","Genus: Kittiwakes",NA,"seabirds_larids","Gulls","Gulls"
"1477","Genus: Mergansers",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1478","Genus: Murrelets (Synthliboramphus and Brachyramphus )",NA,"seabirds_alcids","Alcids","Alcids"
"1479","Genus: Murres",NA,"seabirds_alcids","Alcids","Alcids"
"1480","Genus: Noddies",NA,"seabirds_pelagics","Terns","Terns"
"1481","Genus: Oystercatchers",NA,"shorebirds_waders","",""
"1482","Genus: Petrels (Pterodroma)",NA,"seabirds_pelagics","",""
"1483","Genus: Phalaropes",NA,"shorebirds_waders","Phalaropes","Phalaropes"
"1484","Genus: Plovers (Charadrius)",NA,"shorebirds_waders","",""
"1485","Genus: Plovers (Pluvialis)",NA,"shorebirds_waders","",""
"1486","Genus: Puffins",NA,"seabirds_alcids","Alcids","Alcids"
"1487","Genus: Redpoll (Common or Hoary)",NA,"","",""
"1488","Genus: Redpolls",NA,"","",""
"1489","Genus: Sandpipers (Calidris)",NA,"shorebirds_waders","",""
"1490","Genus: Sandpipers or Phalaropes",NA,"shorebirds_waders","",""
"1491","Genus: Scaup",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1492","Genus: Scoters",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1493","Genus: Shearwaters (Calonectris)",NA,"seabirds_pelagics","Shearwaters","Shearwaters"
"1494","Genus: Shearwaters (Puffinus or Calonectris)",NA,"seabirds_pelagics","Shearwaters","Shearwaters"
"1495","Genus: Shearwaters (Puffinus)",NA,"seabirds_pelagics","Shearwaters","Shearwaters"
"1496","Genus: Shorebirds (Tringa) Yellowlegs",NA,"shorebirds_waders","",""
"1497","Genus: Shorebirds (Whimbrel and Curlews)",NA,"shorebirds_waders","",""
"1498","Genus: Skuas",NA,"seabirds_larids","Jaegers","Jaegers"
"1499","Genus: Small gull",NA,"","Gulls","Gulls"
"1500","Genus: Snipes",NA,"shorebirds_waders","",""
"1501","Genus: Storm-Petrels (Fregetta)",NA,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"1502","Genus: Storm-Petrels (Oceanites)",NA,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"1503","Genus: Storm-Petrels (Oceanodroma)",NA,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"1504","Genus: Terns (Childonias)",NA,"seabirds_larids","Terns","Terns"
"1505","Genus: Terns (Common or Arctic)",NA,"seabirds_larids","Terns","Terns"
"1506","Genus: Terns (Sterna)",NA,"seabirds_larids","Terns","Terns"
"1507","Genus: Terns (all genera)",NA,"seabirds_larids","Terns","Terns"
"1508","Genus: Tropicbirds",NA,"","",""
"1509","Great Frigatebird",NA,"seabirds_pelagics","",""
"1510","Harcourt's Petrel",NA,"","",""
"1511","Hawaiian Petrel or Galapagos Petrel",NA,"seabirds_pelagics","",""
"1512","Herald Petrel",NA,"seabirds_pelagics","",""
"1513","Herald Petrel",NA,"","",""
"1514","Herald Petrel",NA,"","",""
"1515","Iceland Gull - glaucoides ssp.",NA,"seabirds_larids","Gulls","Gulls"
"1516","Iceland Gull/Kumlien's  Gull - kumlieni ssp.",NA,"seabirds_larids","Gulls","Gulls"
"1517","Ipswich Sparrow",NA,"","",""
"1518","Juan Fernandez Petrel",NA,"seabirds_pelagics","",""
"1519","Least Auklet",NA,"seabirds_alcids","",""
"1520","Least Storm-petrel",NA,"seabirds_pelagics","",""
"1521","Lesser Noddy",NA,"seabirds_larids","",""
"1522","Lincolns Sparrow",NA,"","",""
"1523","Little Shearwater",NA,"","",""
"1524","Magnificent Frigatebird",NA,"","",""
"1525","Masked Booby",NA,"seabirds_pelagics","",""
"1526","Mew Gull",NA,"","",""
"1527","Murre or Razorbill",NA,"seabirds_alcids","Alcids","Alcids"
"1528","Myrtle Warbler",NA,"","",""
"1529","Nashville warbler",NA,"","",""
"1530","Orage-crowned Warbler",NA,"","",""
"1531","Order: Albatrosses",NA,"","",""
"1532","Storm-Petrels",NA,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"1533","Order: Birds of Prey",NA,"","",""
"1534","Order: Cuckoos and Anis",NA,"","",""
"1535","Order: Doves and Pigeon",NA,"","",""
"1536","Order: Herons",NA,"","",""
"1537","Order: Kingfishers",NA,"","",""
"1538","Order: Loons",NA,"waterfowl_diving","Waterfowl","Diving Waterfowl"
"1539","Order: Owls",NA,"","",""
"1540","Order: Passerines",NA,"","",""
"1541","Order: Pelicans",NA,"","",""
"1542"," Cormorants",NA,"","",""
"1543","Order: Pheasants",NA,"","",""
"1544","Order: Rails and Cranes",NA,"shorebirds_waders","",""
"1545","Order: Shorebirds",NA,"","",""
"1546","Order: Waterfowl",NA,"","",""
"1547","Polynesian Storm-Petrel",NA,"seabirds_pelagics","",""
"1548","Red-billed Tropicbird",NA,"","",""
"1549","Red-footed Booby",NA,"seabirds_pelagics","",""
"1550","Rufous-sided Towhee",NA,"","",""
"1551","Shag",NA,"","",""
"1552","Slate-colored Junco",NA,"","",""
"1553","Solander's Petrel",NA,"seabirds_pelagics","",""
"1554","Sooty Gull",NA,"","",""
"1555","Sooty Tern",NA,"","",""
"1556","Spectacled Guillemot",NA,"","",""
"1557","Streaked Shearwater",NA,"seabirds_pelagics","",""
"1558","Swainsons Thrush",NA,"","",""
"1559","Tahiti Petrel",NA,"seabirds_pelagics","",""
"1560","Townsend's Shearwater",NA,"seabirds_pelagics","",""
"1561","Unknown Bird",NA,"","",""
"1562","Unknown Songbird",NA,"","",""
"1563","Vega Gull",NA,"seabirds_larids","",""
"1564","Wedge-rumped Storm-petrel",NA,"seabirds_pelagics","",""
"1565","Wedge-tailed Shearwater",NA,"seabirds_pelagics","",""
"1566","Western-Glaucous-winged Gull (Hybrid)",NA,"seabirds_larids","",""
"1567","Whiskered Auklet",NA,"seabirds_alcids","",""
"1568","White Tern",NA,"","",""
"1569","White-bellied Storm-petrel",NA,"seabirds_pelagics","",""
"1570","White-cheeked Tern",NA,"seabirds_larids","",""
"1571","White-tailed Eagle",NA,"","",""
"1572","White-winged  Tern",NA,"seabirds_larids","",""
"1573","Wilson's Storm Petrel",NA,"seabirds_pelagics","Storm-Petrels","Storm-Petrels"
"1574","Wilsons Snipe",NA,"shorebirds_waders","",""
"1575","Xantus's Murrelet",NA,"seabirds_alcids","",""
"1576","Yelkouan Shearwater",NA,"seabirds_pelagics","",""
"1577","Yellow Wagtail",NA,"","",""
"1578","Seaduck sp",NA,"waterfowl_diving","",""
"1579","Goldeneyes sp",NA,"waterfowl_diving","",""
"1580","Scaup sp",NA,"waterfowl_diving","",""
"1581","Diver sp",NA,"waterfowl_diving","",""
"1582","Auk sp",NA,"seabirds_alcids","",""
"1583","Sandpiper sp",NA,"shorebirds_waders","",""
"1584","Dabbler sp",NA,"waterfowl_dabbling","",""
"1585","Mallard x Black duck",NA,"waterfowl_dabbling","",""
"1586","Snow Goose (blue morph)",NA,"waterfowl_dabbling","",""
"1587","Common Moorhen",NA,"waterfowl_dabbling","",""
